usuario_id,categoria,valor,data
1,Moradia,1489,2026-01-01
1,Alimentação,239,2026-09-01
1,Transporte,1933,2026-10-01
1,Lazer,707,2026-06-01
1,Saúde,817,2026-05-01
2,Moradia,751,2026-11-01
2,Alimentação,283,2026-04-01
2,Transporte,1228,2026-09-01
2,Lazer,467,2026-03-01
2,Saúde,1009,2026-02-01
3,Moradia,1554,2026-02-01
3,Alimentação,214,2026-04-01
3,Transporte,828,2026-04-01
3,Lazer,442,2026-09-01
3,Saúde,855,2026-12-01
4,Moradia,230,2026-08-01
4,Alimentação,1400,2026-12-01
4,Transporte,388,2026-01-01
4,Lazer,1906,2026-03-01
4,Saúde,628,2026-06-01
5,Moradia,211,2026-07-01
5,Alimentação,1726,2026-09-01
5,Transporte,1006,2026-04-01
5,Lazer,1246,2026-10-01
5,Saúde,1882,2026-10-01
6,Moradia,1259,2026-10-01
6,Alimentação,845,2026-05-01
6,Transporte,1477,2026-03-01
6,Lazer,347,2026-07-01
6,Saúde,1237,2026-01-01
7,Moradia,1264,2026-06-01
7,Alimentação,1203,2026-08-01
7,Transporte,194,2026-05-01
7,Lazer,969,2026-03-01
7,Saúde,300,2026-03-01
8,Moradia,190,2026-05-01
8,Alimentação,1195,2026-03-01
8,Transporte,147,2026-10-01
8,Lazer,1834,2026-10-01
8,Saúde,689,2026-05-01
9,Moradia,445,2026-07-01
9,Alimentação,1589,2026-04-01
9,Transporte,524,2026-07-01
9,Lazer,1694,2026-09-01
9,Saúde,1633,2026-02-01
10,Moradia,458,2026-12-01
10,Alimentação,603,2026-12-01
10,Transporte,890,2026-12-01
10,Lazer,1324,2026-07-01
10,Saúde,1731,2026-04-01
11,Moradia,1909,2026-01-01
11,Alimentação,1406,2026-08-01
11,Transporte,1031,2026-01-01
11,Lazer,1002,2026-06-01
11,Saúde,966,2026-08-01
12,Moradia,790,2026-12-01
12,Alimentação,1481,2026-11-01
12,Transporte,897,2026-07-01
12,Lazer,1410,2026-06-01
12,Saúde,767,2026-10-01
13,Moradia,1174,2026-10-01
13,Alimentação,204,2026-05-01
13,Transporte,1802,2026-12-01
13,Lazer,322,2026-07-01
13,Saúde,868,2026-04-01
14,Moradia,1144,2026-07-01
14,Alimentação,1678,2026-05-01
14,Transporte,157,2026-03-01
14,Lazer,1156,2026-08-01
14,Saúde,1403,2026-07-01
15,Moradia,186,2026-11-01
15,Alimentação,1890,2026-10-01
15,Transporte,1021,2026-01-01
15,Lazer,1590,2026-09-01
15,Saúde,1200,2026-03-01
16,Moradia,1008,2026-11-01
16,Alimentação,1799,2026-06-01
16,Transporte,1339,2026-10-01
16,Lazer,886,2026-12-01
16,Saúde,1503,2026-08-01
17,Moradia,649,2026-05-01
17,Alimentação,791,2026-12-01
17,Transporte,596,2026-08-01
17,Lazer,1544,2026-10-01
17,Saúde,1144,2026-06-01
18,Moradia,613,2026-09-01
18,Alimentação,266,2026-06-01
18,Transporte,534,2026-08-01
18,Lazer,566,2026-08-01
18,Saúde,1731,2026-03-01
19,Moradia,181,2026-11-01
19,Alimentação,1803,2026-10-01
19,Transporte,716,2026-06-01
19,Lazer,943,2026-08-01
19,Saúde,1737,2026-06-01
20,Moradia,361,2026-11-01
20,Alimentação,1084,2026-10-01
20,Transporte,244,2026-04-01
20,Lazer,973,2026-02-01
20,Saúde,576,2026-09-01
21,Moradia,358,2026-05-01
21,Alimentação,776,2026-08-01
21,Transporte,680,2026-03-01
21,Lazer,349,2026-09-01
21,Saúde,190,2026-10-01
22,Moradia,1030,2026-02-01
22,Alimentação,956,2026-05-01
22,Transporte,1091,2026-09-01
22,Lazer,1723,2026-02-01
22,Saúde,831,2026-05-01
23,Moradia,923,2026-11-01
23,Alimentação,1716,2026-03-01
23,Transporte,1171,2026-11-01
23,Lazer,535,2026-07-01
23,Saúde,1678,2026-05-01
24,Moradia,1616,2026-03-01
24,Alimentação,1299,2026-01-01
24,Transporte,1121,2026-02-01
24,Lazer,1194,2026-06-01
24,Saúde,470,2026-10-01
25,Moradia,1696,2026-12-01
25,Alimentação,1877,2026-10-01
25,Transporte,798,2026-06-01
25,Lazer,889,2026-09-01
25,Saúde,328,2026-09-01
26,Moradia,1377,2026-06-01
26,Alimentação,1215,2026-06-01
26,Transporte,1899,2026-08-01
26,Lazer,719,2026-06-01
26,Saúde,411,2026-01-01
27,Moradia,1627,2026-08-01
27,Alimentação,260,2026-10-01
27,Transporte,1822,2026-11-01
27,Lazer,281,2026-05-01
27,Saúde,207,2026-12-01
28,Moradia,1064,2026-05-01
28,Alimentação,1197,2026-12-01
28,Transporte,319,2026-05-01
28,Lazer,437,2026-10-01
28,Saúde,501,2026-12-01
29,Moradia,1626,2026-12-01
29,Alimentação,1183,2026-10-01
29,Transporte,1555,2026-01-01
29,Lazer,1564,2026-06-01
29,Saúde,1414,2026-10-01
30,Moradia,498,2026-06-01
30,Alimentação,646,2026-07-01
30,Transporte,647,2026-12-01
30,Lazer,1736,2026-12-01
30,Saúde,1520,2026-09-01
