usuario_id,meta,aporte_mensal,prazo_meses
1,Reserva de Emergência,428,36
2,Moto,600,12
3,Reserva de Emergência,526,18
4,Reserva de Emergência,856,18
5,Reserva de Emergência,814,18
6,Notebook,835,36
7,Reserva de Emergência,564,12
8,Notebook,685,24
9,Reserva de Emergência,572,36
10,Moto,686,18
11,Moto,945,12
12,Viagem,339,12
13,Moto,440,12
14,Notebook,567,18
15,Reserva de Emergência,934,18
16,Viagem,933,24
17,Moto,718,18
18,Moto,458,12
19,Moto,206,24
20,Reserva de Emergência,382,36
21,Moto,378,24
22,Notebook,762,12
23,Reserva de Emergência,773,12
24,Moto,437,12
25,Moto,908,18
26,Moto,227,18
27,Reserva de Emergência,386,36
28,Notebook,596,36
29,Viagem,590,36
30,Viagem,663,24
